acct_id,tx_date,amount,type
d74bbf27,20131126,5.0,sys_rev_of_dr
e3dd02ce,20131126,-2.0,topup_mobile
f7e847d4,20131126,5.0,dep_pos_cash
e3dd02ce,20131126,50.0,dep_pos_cash
6ed2ce94,20140428,-30.0,pos_wd_cash
6ed2ce94,20140428,-0.3,fee_pos_wd_cash
bd7792a7,20130617,1.0,dep_pos_cash
bd7792a7,20130617,-1.0,pos_wd_cash
bd7792a7,20130617,-0.2,fee_pos_wd_cash
bd7792a7,20130617,-0.2,fee_pos_bal_inq
bd7792a7,20130617,-1.0,pos_wd_cash
bd7792a7,20130617,-0.2,fee_pos_wd_cash
bd7792a7,20130617,-0.2,fee_pos_mini_stmt
2736da93,20131130,0.01968,sys_int_pmt
3bac45f7,20131130,0.051,sys_int_pmt
3f7653c6,20130617,-5.0,pos_wd_cash
3f7653c6,20130617,-0.2,fee_pos_wd_cash
bd6047ee,20131130,0.05822,sys_int_pmt
df08fa55,20131130,0.01806,sys_int_pmt
43ecbfe4,20131130,0.01232,sys_int_pmt
80c2bb28,20140109,5.0,sys_rev_of_dr
87032a32,20140109,10.0,dep_pos_cash
8407886b,20140109,5.0,sys_rev_of_dr
5d6525cf,20140109,10.0,dep_pos_cash
ba714d12,20131130,0.00959,sys_int_pmt
f7e847d4,20131130,0.00382,sys_int_pmt
94417357,20140109,20.0,dep_pos_cash
66f29df9,20140109,5.0,sys_rev_of_dr
6e1a6cce,20140109,100.0,dep_pos_cash
9a1e96fa,20140109,5.0,sys_rev_of_dr
033d97a6,20140109,250.0,dep_pos_cash
87367958,20140115,5.0,sys_rev_of_dr
38f16b07,20140109,5.0,sys_rev_of_dr
c04b844a,20131130,0.01134,sys_int_pmt
04178aa2,20140115,20.0,dep_pos_cash
de06f2ca,20140115,5.0,sys_rev_of_dr
6e1a6cce,20140115,-400.0,pos_wd_cash
6e1a6cce,20140115,-0.2,fee_pos_wd_cash
b771f6d1,20140109,20.0,dep_pos_cash
3f7653c6,20130617,10.0,dep_pos_cash
bd7792a7,20130617,1.0,dep_pos_cash
c0cb0ecf,20140115,5.0,sys_rev_of_dr
289f42f6,20140115,5.0,sys_rev_of_dr
3f7653c6,20130617,5.0,dep_pos_cash
f53e1f4c,20140115,5.0,sys_rev_of_dr
37822625,20140115,5.0,sys_rev_of_dr
bd7792a7,20130620,-1.0,pos_wd_cash
bd7792a7,20130620,-0.2,fee_pos_wd_cash
bd7792a7,20130620,-0.2,fee_pos_bal_inq
22f1e87d,20130629,0.01968,sys_int_pmt
bd7792a7,20130620,-0.2,fee_pos_mini_stmt
bd7792a7,20130620,2.0,dep_pos_cash
136bf509,20131126,-0.1,wd_atm_cash
16ec6d57,20130629,-1.0,pos_wd_cash
6a15135d,20140115,5.0,sys_rev_of_dr
5dac87ee,20140704,10.0,dep_pos_cash
2a0a0cbc,20140704,400.0,dep_pos_cash
3f7653c6,20130629,-1.0,pos_wd_cash
0950b40e,20140115,5.0,sys_rev_of_dr
0bab7bee,20140704,5.0,sys_rev_of_dr
bd7792a7,20130629,-1.0,pos_wd_cash
e19903a6,20140115,5.0,sys_rev_of_dr
30d2ede0,20140117,80.0,dep_pos_cash
781d6aa7,20140428,-40.0,wd_atm_cash
6a15135d,20140115,5.0,dep_pos_cash
8fce08a7,20140115,-0.05,fee_mob_bal_inq
6c49d090,20140704,5.0,sys_rev_of_dr
08fabaae,20140115,5.0,sys_rev_of_dr
f567e644,20140704,500.0,dep_pos_cash
938486ed,20131119,5.0,sys_rev_of_dr
6b3f8d70,20140428,5.0,sys_rev_of_dr
3efabbf5,20140630,5.0,sys_rev_of_dr
26872019,20140630,50.0,dep_pos_cash
b771f6d1,20140630,30.0,dep_pos_cash
9a904598,20140630,-20.0,wd_atm_cash
960429d4,20140704,5.0,sys_rev_of_dr
d51d85f7,20140428,5.0,sys_rev_of_dr
b4771dbf,20130726,10.0,dep_pos_cash
ebb985b8,20140630,100.0,dep_pos_cash
b4771dbf,20130726,-10.0,misc_dr_ebk
b4771dbf,20130726,-2.0,misc_dr_ebk
8ed1a21e,20130726,10.0,misc_cr_ebk
8240dcfe,20140704,5.0,sys_rev_of_dr
3344d6c7,20140630,5.0,sys_rev_of_dr
a87b7608,20140630,-1.0,topup_mobile
679499b2,20130726,5.0,sys_rev_of_dr
b4771dbf,20130726,5.0,sys_rev_of_dr
81dfadc8,20130726,5.0,sys_rev_of_dr
0745cc70,20140704,-0.3,fee_pos_wd_cash
80c2bb28,20140630,-300.0,wd_atm_cash
dc1d5a39,20140630,140.0,dep_pos_cash
c79bb135,20140630,100.0,dep_pos_cash
80c2bb28,20140630,-400.0,wd_atm_cash
46ff3646,20140428,5.0,sys_rev_of_dr
c42b8503,20140630,-9.0,pos_wd_cash
c42b8503,20140630,-0.3,fee_pos_wd_cash
46ff3646,20140428,10.0,dep_pos_cash
b771f6d1,20140428,70.0,dep_pos_cash
12d51c7d,20140428,300.0,dep_pos_cash
6cbc746e,20140630,5.0,sys_rev_of_dr
5f902d01,20140428,-150.0,pos_wd_cash
5f902d01,20140428,-0.3,fee_pos_wd_cash
fb178296,20140428,5.0,sys_rev_of_dr
551967d4,20140630,-300.0,pos_wd_cash
551967d4,20140630,-0.3,fee_pos_wd_cash
0745cc70,20140704,-100.0,pos_wd_cash
335ba241,20131104,5.0,sys_rev_of_dr
ab5da03e,20140428,50.0,dep_pos_cash
b4b8377d,20140630,-30.0,pos_wd_cash
b4b8377d,20140630,-0.3,fee_pos_wd_cash
e34195c9,20140428,5.0,sys_rev_of_dr
2601906a,20140428,5.0,sys_rev_of_dr
8af0122f,20140630,15.0,dep_pos_cash
21bc2b65,20140630,-200.0,pos_wd_cash
21bc2b65,20140630,-0.3,fee_pos_wd_cash
ab668ff8,20140428,-10.0,pos_wd_cash
ab668ff8,20140428,-0.3,fee_pos_wd_cash
7e513928,20140630,5.0,sys_rev_of_dr
2aaa8bb8,20140630,-50.0,pos_wd_cash
2aaa8bb8,20140630,-0.3,fee_pos_wd_cash
a760a107,20140630,-100.0,wd_atm_cash
b7c0fb5c,20140630,-20.0,pos_wd_cash
b7c0fb5c,20140630,-0.3,fee_pos_wd_cash
1b734a8b,20130809,5.0,sys_rev_of_dr
5dac87ee,20140630,20.0,dep_pos_cash
3113b85b,20140630,5.0,sys_rev_of_dr
a1c54916,20130809,200.0,dep_pos_cash
92e55cdf,20130725,5.0,sys_rev_of_dr
b7c0fb5c,20140721,50.0,dep_pos_cash
b771f6d1,20140630,-220.0,pos_wd_cash
b771f6d1,20140630,-0.3,fee_pos_wd_cash
a1c54916,20130809,5.0,sys_rev_of_dr
1161282b,20140704,60.0,dep_pos_cash
cd262e70,20140704,-2000.0,pos_wd_cash
cd262e70,20140704,-0.3,fee_pos_wd_cash
245df7e5,20140428,5.0,sys_rev_of_dr
737a360d,20140708,400.0,dep_pos_cash
e281ed96,20130729,-0.05,fee_mob_mini_stmt
d3a0f622,20140428,5.0,sys_rev_of_dr
bd7a25b8,20130729,5.0,sys_rev_of_dr
e281ed96,20130729,-0.05,fee_mob_mini_stmt
e281ed96,20130729,5.0,sys_rev_of_dr
92ea0344,20140708,-30.0,wd_atm_cash
e582649b,20130729,5.0,sys_rev_of_dr
1ddd8bc1,20140428,5.0,sys_rev_of_dr
acb8d4cb,20130816,5.0,sys_rev_of_dr
17ff5cea,20130816,5.0,sys_rev_of_dr
a60f0ca4,20140428,5.0,sys_rev_of_dr
5deaf070,20140428,5.0,sys_rev_of_dr
3116fabc,20130730,5.0,sys_rev_of_dr
e62fe94d,20130816,5.0,sys_rev_of_dr
1d05b79f,20130731,-1.0,pos_wd_cash
0f91c098,20130730,5.0,sys_rev_of_dr
7624149c,20140721,400.0,dep_pos_cash
3f7653c6,20130731,-1.0,pos_wd_cash
879ea09c,20130731,5.0,sys_rev_of_dr
01853b3e,20130801,5.0,sys_rev_of_dr
16ec6d57,20130731,-1.0,pos_wd_cash
1524ac07,20130801,5.0,sys_rev_of_dr
1d05b79f,20130731,5.0,sys_rev_of_dr
e281ed96,20130731,-1.0,pos_wd_cash
d96a3a0b,20130801,5.0,sys_rev_of_dr
acb8d4cb,20131119,-1.0,topup_mobile
e582649b,20130731,-1.0,pos_wd_cash
bd7792a7,20130731,-1.0,pos_wd_cash
b4771dbf,20130731,-1.0,pos_wd_cash
7bcf3441,20140505,50.0,dep_pos_cash
2601906a,20140505,150.0,dep_pos_cash
b3a44db5,20140505,-30.0,wd_atm_cash
216302fb,20140505,-100.0,wd_atm_cash
60b22215,20140505,50.0,dep_pos_cash
64b5d16f,20130802,5.0,sys_rev_of_dr
400e45eb,20130802,5.0,sys_rev_of_dr
8ef59c6c,20130731,5.0,sys_rev_of_dr
4d10681e,20130731,5.0,sys_rev_of_dr
68a3a3fc,20140121,-0.05,fee_mob_mini_stmt
22f1e87d,20130731,0.02624,sys_int_pmt
d8a06153,20140121,5.0,sys_rev_of_dr
ea2375c0,20140121,5.0,sys_rev_of_dr
92e55cdf,20130731,-1.0,pos_wd_cash
4b100afa,20130802,5.0,sys_rev_of_dr
216302fb,20140505,-30.0,wd_atm_cash
43c80c9c,20140121,5.0,sys_rev_of_dr
28598fdc,20140121,5.0,sys_rev_of_dr
b4111440,20140121,5.0,sys_rev_of_dr
d4172615,20140505,5.0,sys_rev_of_dr
fc173d50,20140121,30.0,dep_pos_cash
c588e1af,20140121,5.0,sys_rev_of_dr
68a3a3fc,20140121,-0.05,fee_mob_mini_stmt
6acc6b47,20140121,5.0,sys_rev_of_dr
93e525c9,20140505,200.0,dep_pos_cash
895a829b,20140121,5.0,sys_rev_of_dr
8decc868,20140505,5.0,sys_rev_of_dr
b3908458,20140106,200.0,dep_pos_cash
dcb8a878,20131104,-50.0,wd_atm_cash
0a8bab0c,20140505,5.0,sys_rev_of_dr
7e3e21a9,20140121,5.0,sys_rev_of_dr
bd7792a7,20130805,-100.0,txfr_pos
bd7792a7,20130805,-0.2,txfr_pos
bd7792a7,20130805,101.0,dep_pos_cash
bf1854e0,20140106,5.0,sys_rev_of_dr
d47cd4b7,20140121,5.0,sys_rev_of_dr
1e175d13,20130805,5.0,sys_rev_of_dr
7af13f0e,20140505,100.0,dep_pos_cash
ea76af08,20140106,5.0,sys_rev_of_dr
954a034b,20140106,200.0,dep_pos_cash
e8dd103e,20140505,30.0,dep_pos_cash
16b132e8,20130806,5.0,sys_rev_of_dr
21bc2b65,20140630,-1.0,pos_wd_cash
020be9de,20131119,5.0,sys_rev_of_dr
bd7792a7,20140630,-1.0,pos_wd_cash
605524a2,20140630,-1.0,pos_wd_cash
7de85338,20140630,-1.0,pos_wd_cash
ffeb404e,20140505,5.0,sys_rev_of_dr
d47cd4b7,20140630,-1.0,pos_wd_cash
ac22657e,20140630,-1.0,pos_wd_cash
6267ac21,20140630,-1.0,pos_wd_cash
c9a126bc,20140630,-1.0,pos_wd_cash
18abc463,20140630,-1.0,pos_wd_cash
9a7a9905,20140630,-1.0,pos_wd_cash
ea2375c0,20140630,-1.0,pos_wd_cash
8748d503,20140630,-1.0,pos_wd_cash
694157a8,20140630,-1.0,pos_wd_cash
fe4b8784,20140630,-1.0,pos_wd_cash
f3cf6470,20140630,-1.0,pos_wd_cash
5730b681,20140630,-1.0,pos_wd_cash
004e8beb,20140630,-1.0,pos_wd_cash
f5bdebed,20140630,-1.0,pos_wd_cash
776ba8bd,20140505,5.0,sys_rev_of_dr
8b363164,20140630,-1.0,pos_wd_cash
adafeb54,20130807,5.0,sys_rev_of_dr
3bc1d2a6,20131202,50.0,dep_pos_cash
