acct_id,bal_date,balance
895a829b,20140630,359.0
24065d10,20140630,1.0
00419833,20140630,1.0
a597ee3c,20140630,101.0
7e46fda7,20140630,3.2
f9ee913a,20140630,1.0
0954ed7e,20131119,5.0
dcb8a878,20131119,31.17762
2c89e7ff,20140630,1.0
f28869fa,20140630,5.8
7b6f2c76,20140630,1.0
d39d0eb8,20140630,1.0
84f3a3f3,20140630,1.0
4497ef90,20140630,1.0
e714c080,20140630,2.0
00aad7f8,20150410,14.51073
2ff7f3e6,20140630,2.0
9f39334f,20140630,101.0
3c9b1f0d,20150410,3753.54212
5c41fcd8,20140630,1.0
85d98db9,20140630,1.0
4a0ab834,20140630,1.0
c3d0bf6f,20140630,1.0
2a0a0cbc,20150410,1012.07567
3bac45f7,20131104,5.0
708652dc,20140630,1.0
b55c4d26,20140630,25.67226
25e86ab6,20140630,1.0
c49f1569,20140630,2.0
7f354d7f,20140630,6.0
00aad7f8,20140630,17.12765
93d3c2f2,20140606,82.7
5475b60e,20140630,2.0
5572f66c,20140630,6.0
8d79b488,20140630,1.0
2601906a,20140606,202.4
92ea0344,20140606,1005.0
2a875183,20140630,1.0
70dcdf37,20140630,1.0
2b881e32,20140630,1.0
551967d4,20140630,300.7
d9dfb883,20140630,1.0
85a81d5b,20140630,0.0
d88b12c8,20140630,41.0
94bd6438,20140630,1.0
0fbe00ae,20140630,1.0
b2fb7aae,20140630,6.0
9e10b80e,20140606,5.0
0253e3e9,20140606,45.17553
fc173d50,20140106,5.0
c888f1a2,20140630,0.0
ca5542d2,20140630,5.6
a8060207,20140630,1.0
895a829b,20140606,360.0
91fcef48,20140630,1.0
922ba6c6,20140606,45.32524
ac50b52e,20140106,5.0
bf5ca1ad,20140630,1.0
0745cc70,20140630,506.6
1da6bd78,20140630,0.0
0745cc70,20140606,1108.5
0745cc70,20140606,1108.2
b771f6d1,20140606,60.86568
20667d6c,20131105,144.95166
5f8ea990,20140606,5.0
2054c55e,20140630,1.0
a1c54916,20131105,311.7622
9f8f4226,20140630,11.0
d2b69e11,20140630,0.0
50e53442,20140606,5.0
dcb8a878,20131105,52.17762
9949d642,20140606,5.0
895a829b,20140606,560.0
cd040257,20140606,5.0
c35e8e9f,20140630,1.0
bcaaeaf5,20140630,1.0
f9e4c45d,20140630,0.0
abc092c6,20140606,145.29094
c16645f5,20140630,1.0
f1ce9c7b,20140630,0.0
7a0ea23b,20140630,1.0
1161282b,20140106,216.3117
a1c54916,20140106,13.03345
a1c54916,20140106,12.83345
8559bb01,20140630,81.0
efa43020,20140630,0.0
ff33f2ab,20140606,705.0
a0b2e734,20140606,1100.0
8b65d2b4,20140630,1.0
33b7e9ad,20140630,1.0
f5352f36,20140630,1.0
d3e9b9c3,20140630,10.8
677af39b,20140630,2.0
903b04d0,20140630,1.0
b9424e15,20140630,90.4
b82037aa,20151017,380.4
78f160a6,20140630,1.0
5686fcc2,20140630,1.0
9fad5625,20140630,0.0
65f7a038,20130815,5.0
bbeeda21,20140630,8.8
fdcd0afe,20140630,1.0
1161282b,20130815,5.0
05c73f25,20130815,5.0
bb65ffed,20140630,1.0
c947357b,20130815,5.0
d5d9e5ee,20140630,1.0
1539d661,20140630,2.0
cae3d79f,20140630,1.0
dc9b1dba,20140630,2.0
361337cf,20140630,3.0
0a1be23f,20140630,3.0
fd6e22c9,20140630,2.0
2f7de7df,20140630,3.0
e527061e,20140630,22.0
1ddd8bc1,20140630,2.0
d3a0f622,20140630,2.0
f8c93876,20140630,3.0
f75ed4c7,20140630,2.0
0a361584,20140630,1.95
261127a0,20140630,3.0
85734995,20140630,3.0
32e1aaac,20140630,1.0
d4029d83,20140630,3.0
28df2ab4,20140630,4.0
4d49b7b0,20140630,2.0
a760a107,20140630,200.7
781d6aa7,20140630,21.0
0048fcaf,20140630,19.0
fe425be2,20140630,3.0
4b100afa,20131231,0.0
cfcd5071,20140630,3.0
acb8d4cb,20131231,3.0
c7300063,20131231,2.0
98378549,20131231,1.0
a59f5b79,20140630,2.0
b9e9f633,20131231,1.35
21bc2b65,20131231,2099.6
65f7a038,20131231,0.0
9b698b14,20131231,8.0
4063d198,20131231,0.0
ef5cae05,20140630,3.0
51c3baed,20140630,4.0
6b204958,20140630,92.0
13da6300,20131231,0.0
5e85399d,20140630,4.0
db196848,20140630,3.0
1b734a8b,20131231,0.0
70707f60,20140630,24.0
400e45eb,20131231,0.0
bd7792a7,20131231,2.6
6273c486,20140630,4.0
1e175d13,20131231,4.6
be311de9,20140630,3.0
e62fe94d,20131231,130.0
db2c7cc8,20140630,3.0
6fb19fa7,20140630,154.0
58c71920,20140630,22.9
0996497f,20140630,4.0
2410ecf9,20140630,4.0
edfd8418,20140630,4.0
08058943,20140630,4.0
bd752750,20140630,3.0
ef619c34,20140630,3.0
fdbf58b7,20131231,10.0
216302fb,20140630,7.0
2aa24461,20131231,2.0
ab5da03e,20140506,16.92244
e06db391,20140506,30.0
ec59eef8,20140506,2.9
733083bd,20131231,40.0
17ff5cea,20131231,0.0
adafeb54,20131231,0.0
20667d6c,20140121,45.85946
605524a2,20140506,9.4
dcabf75e,20140630,3.0
a8213ac8,20140606,5.0
01fdbaf2,20131105,355.14112
5572f66c,20140606,302.0
ec59eef8,20140506,264.3
68a3a3fc,20140121,2.75
c7f1347e,20131231,1.0
50e53442,20140606,15.0
ec59eef8,20140506,2.95
4e64395c,20140606,463.0
85b3cd56,20140606,5.0
02e6f092,20131231,0.0
5572f66c,20140606,252.0
8d9ea7e4,20131231,2.0
37962af3,20131231,2.0
91ea649d,20140630,3.0
68a3a3fc,20140121,2.7
d978e0ad,20140630,2.0
dc1d5a39,20140630,513.0
74226787,20140630,4.0
397b34c9,20140630,103.0
efe84c43,20131231,2.0
c833652c,20140630,3.0
4ebfd386,20140630,4.0
2e9ee115,20131231,2.0
96f2a6e8,20140630,202.0
efc5e2e3,20131231,2.0
6267ac21,20131231,450.8
376ec3d9,20131231,141.0
59a83cb6,20131231,1.0
acaa1fcb,20131231,2.0
88c3e572,20140630,3.0
638bb6aa,20140630,4.0
e896d407,20131231,12.8
7197a484,20140630,2.0
0257d1f4,20131231,1.0
80389b8c,20140630,4.0
041f40f8,20140630,4.0
ce5f885f,20131231,1.0
dd97f18a,20131231,2.0
272b0bf8,20131231,1.0
51f64ce2,20131231,21.0
d4325575,20140630,4.0
733083bd,20130820,15.0
b40d7e34,20131231,1.0
13da6300,20130820,5.0
b78add06,20131231,2.0
9a904598,20140506,103.0
d080e0ff,20140630,2.0
ea2dcc42,20131231,2.0
6c9204ca,20131220,75.0
db79b793,20131220,100.0
9b698b14,20130820,5.0
ec59eef8,20140506,73.7
ec59eef8,20140506,73.5
ec59eef8,20140506,134.1
ec59eef8,20140506,224.3
ec59eef8,20140506,224.1
ec59eef8,20140506,33.05
ec59eef8,20140506,33.3
ec59eef8,20140506,33.1
ec59eef8,20140506,63.5
ec59eef8,20140506,93.9
ec59eef8,20140506,93.7
ec59eef8,20140506,133.9
ec59eef8,20140506,63.3
733083bd,20130820,5.0
b9e9f633,20130820,5.0
1161282b,20130821,35.0
64f6fbbc,20131231,2.0
613df0e1,20131231,2.0
3bc1d2a6,20131220,214.0
24e197ac,20131220,155.0
21bc2b65,20131220,1900.6
5730b681,20140506,230.0
9786cb6a,20131220,55.0
fe99d918,20131220,5.0
a5a367dd,20131220,5.0
7dabcf97,20131220,5.0
f04e5d99,20131220,855.0
02e6f092,20130822,5.0
b1a8a57a,20131231,11.6
7bbcaf37,20131231,2.0
0c7ca7cd,20131231,2.0
4c0c520f,20131231,1.0
d7c2eba9,20131231,5.8
a9b0bd55,20131231,2.0
8f6f2e6d,20131231,2.0
4974e134,20140113,5.0
d575cc7e,20140113,5.0
57b83096,20131231,46.0
1d644b3f,20140113,5.0
f34619f1,20131231,14.0
883ff95f,20131231,2.0
f5bdebed,20131231,71.0
a294d6c4,20131231,2.0
a1c54916,20130824,255.0
a1c54916,20130824,305.0
8f19a33f,20140113,5.0
23a63294,20131231,0.9
9eb46ac3,20140113,5.0
dcb8a878,20131105,53.37762
dcb8a878,20131105,52.37762
96124fd8,20131231,1.0
b7e0b0da,20131231,4.0
0ff6fa3f,20131231,10.7
20641159,20131231,1.0
21315c03,20140113,4.8
5e5ab290,20140113,5.0
8748d503,20131231,4.0
ead948e6,20131231,2.0
dba4a356,20131231,12.0
c9f0b0b0,20131231,2.0
19886922,20140630,2.0
b5b55248,20131231,4.0
54d2bbce,20131231,4.0
f6f18a1c,20131231,1.0
ac22657e,20131231,705.7
5abf2eab,20131231,3.0
115229f1,20131231,4.0
c9a126bc,20131231,4.0
7fac9c4f,20131231,4.0
605524a2,20131231,4.0
7de85338,20131231,83.0
a7d91178,20131231,1.0
9ab30567,20140113,65.0
91e1bf5e,20140113,5.0
5a02f2e7,20140630,2.0
c37882f4,20131231,4.0
526592e0,20131231,14.0
c3af26fe,20131231,3.0
8599390c,20131231,2.0
c5ffc208,20131231,3.0
7ad0f7ba,20131231,3.0
cb885288,20131231,4.0
f61e6c8c,20131231,4.0
a1c54916,20130827,255.0
b9e9f633,20130827,55.0
a1c54916,20130828,205.0
68a3a3fc,20131231,3.0
605524a2,20140113,3.95
247b970c,20131231,2.0
f586b03e,20131231,1.0
fb4b27a6,20140630,2.0
1161282b,20130827,55.0
8fce08a7,20140113,54.8
a041d91f,20140113,5.0
76b59c18,20140113,5.0
ac0c8016,20131231,2.0
21bc2b65,20130830,5.0
21bc2b65,20130830,125.0
7a081190,20140630,42.0
6b9c1abd,20140630,2.0
7fac9c4f,20131223,5.0
9786cb6a,20131223,15.0
bd7792a7,20130831,7.0
80c2bb28,20140113,75.0
21315c03,20140113,54.8
b9e9f633,20130828,54.95
65f7a038,20130831,4.0
f9db3641,20140630,2.0
02e6f092,20130831,4.0
c947357b,20130831,4.0
22f1e87d,20130831,15.07134
b9e9f633,20130831,53.95
733083bd,20130831,14.0
a1c54916,20130831,205.48574
a7d4f6ae,20140113,5.0
52b9fd27,20140630,2.0
4063d198,20130831,4.0
1e175d13,20130831,4.0
e281ed96,20130831,2.9
fdbf58b7,20130831,4.0
adafeb54,20130831,4.0
16ec6d57,20130831,1.0
acb8d4cb,20130831,4.0
92e55cdf,20130831,3.0
13da6300,20130831,4.0
8ef278cb,20130902,105.0
98378549,20130902,5.0
b9e9f633,20130902,53.8
b9e9f633,20130902,53.85
b9e9f633,20130902,53.9
b9e9f633,20130902,53.75
c7f1347e,20130902,5.0
e582649b,20130831,3.0
b9e9f633,20130902,23.75
b9e9f633,20130902,23.55
1161282b,20130902,75.03412
9b698b14,20130902,24.0
1161282b,20130831,55.03412
e62fe94d,20130831,4.0
21bc2b65,20130831,124.0
3f7653c6,20130831,11.8
45686142,20140630,3.0
8655554b,20140630,2.0
1d05b79f,20130831,3.0
1b734a8b,20130831,4.0
17ff5cea,20130831,4.0
ca5068e0,20130903,5.0
400e45eb,20130831,4.0
2736da93,20140106,15.5451
2736da93,20140106,10.5451
2736da93,20140106,10.3451
a1c54916,20131223,262.3035
d1c9c137,20131223,5.0
e8dd103e,20140106,5.0
b4771dbf,20130831,1.0
4b100afa,20130831,4.0
0253e3e9,20131223,105.0
2de37cc6,20131223,5.0
f516dafb,20131223,0.0
7a65c067,20131223,5.0
9b698b14,20130831,4.0
803300f3,20140603,344.75531
526592e0,20131223,15.0
9b698b14,20130904,14.0
9b698b14,20130904,12.0
5f8ea78a,20130904,10.0
d162a988,20140516,5.0
1161282b,20131223,115.79489
b771f6d1,20140603,30.86568
04413866,20140603,5.0
3e5b6835,20130905,5.0
3c29add4,20130904,5.0
8ef278cb,20130905,405.0
0253e3e9,20140516,424.94496
ab5da03e,20140603,56.97487
06fb3cdb,20140516,5.0
ec59eef8,20140516,60.45
91ea649d,20140516,5.0
416d36e5,20140516,5.0
0ff6fa3f,20130906,5.0
a46f514c,20130904,5.0
3e5b6835,20130906,15.0
e14e5769,20140516,5.0
64166614,20140516,5.0
ec59eef8,20140516,10.45
ec59eef8,20140516,10.25
12d51c7d,20140516,464.25161
a87b7608,20140516,5.0
b39bd81a,20140516,55.0
ea76af08,20140516,91.57567
b041282e,20140516,5.0
2601906a,20140630,161.1
12d51c7d,20140516,464.55161
457fe1cb,20140516,5.0
bbeeda21,20140516,261.5
1e175d13,20130907,54.0
b9e9f633,20130906,18.55
20641159,20130909,5.0
4c0c520f,20130909,5.0
ea76af08,20140516,91.37567
c79bb135,20140603,20.0
ac63b357,20130909,5.0
51f64ce2,20130909,5.0
b9e9f633,20130909,13.5
b9e9f633,20130909,13.45
c0f718c1,20130909,5.0
d4029d83,20140514,5.0
b7c71043,20140514,26.02525
b7c71043,20140514,25.72525
b9e9f633,20130909,15.5
3cb6381f,20130909,65.0
3cb6381f,20130909,5.0
fdbf58b7,20130909,14.0
80c2bb28,20140514,151.0
0fcee8df,20140514,5.0
b9e9f633,20130910,9.45
b9e9f633,20130910,9.4
b9e9f633,20130910,8.4
3e5b6835,20130909,45.0
b9e9f633,20130909,18.5
b9e9f633,20130909,16.5
19c4fe19,20140514,5.0
b9e9f633,20130910,11.45
f872d2aa,20130910,5.0
88eb26b4,20140514,5.0
59f8664e,20140630,2.0
0ff6fa3f,20130911,25.0
085e094e,20130911,5.0
8c79a1ef,20140514,5.0
b9e9f633,20130911,5.35
b9e9f633,20130911,6.4
b9e9f633,20130911,6.35
bf409b27,20130911,5.0
42b3603e,20140630,2.0
782adcea,20140630,2.0
db30037d,20130912,5.0
1c2b4bef,20140630,2.0
6dd772bf,20140514,5.0
c72b652f,20140630,2.0
085e094e,20131111,64.75
07ee56e4,20140630,3.0
01853b3e,20130912,45.0
4c1f7b05,20140630,1.0
922ba6c6,20140514,90.0
261127a0,20140514,5.0
12d51c7d,20140514,514.85161
12d51c7d,20140514,514.55161
c8ca5e5d,20140630,2.0
6b3f8d70,20140630,2.0
085e094e,20131111,64.8
61812a49,20140630,3.0
af67426e,20140630,8.0
d0017fce,20140514,10.0
af3464f2,20140514,5.0
922ba6c6,20140514,95.0
b771f6d1,20140514,150.71018
9987f629,20140630,4.0
e14e5769,20140630,3.0
92cee30f,20140630,3.0
a0d51991,20140630,2.0
98cca35f,20140630,3.0
8f7736ef,20140630,16.0
9a904598,20140630,31.0
8ef278cb,20131111,16.42592
c7a10a07,20131111,5.0
1161282b,20130913,105.03412
6e1a6cce,20130913,5.0
7dd03ade,20140630,3.0
d51d85f7,20140630,2.0
2289698a,20140630,43.0
6d6c8711,20130913,5.0
1a3c0526,20130913,15.0
3e5b6835,20130913,65.0
b40d7e34,20130913,5.0
1a3c0526,20130913,5.0
19233a69,20140630,2.0
b39bd81a,20140630,33.0
2f20737a,20140630,4.0
547dd186,20140630,2.0
a507998b,20140630,4.0
c0466217,20140630,3.0
6e1a6cce,20130916,155.0
d7c2eba9,20130916,5.0
3e5b6835,20130916,85.0
96198e69,20130916,5.0
b7c71043,20130916,5.0
4e25b678,20140630,2.0
93d3c2f2,20140630,21.0
c947357b,20130916,3.95
f5bdebed,20130916,5.0
a7d91178,20130916,5.0
11f848b0,20140630,4.0
85b3cd56,20140630,4.0
55700dab,20140630,4.0
b2fb7aae,20140603,7.0
350bf162,20130917,5.0
64166614,20140630,3.0
c5b9ba2a,20140630,4.0
8fa1a485,20140630,3.0
9d87cb5b,20140630,2.0
8638871c,20140630,4.0
f8e8518e,20140630,4.0
4d27cdcb,20130918,5.0
6267ac21,20130917,450.0
d1a4166e,20130917,5.0
6267ac21,20130917,455.0
d45e1161,20140630,3.0
ba653a84,20140630,3.0
ce5f885f,20130918,5.0
52850b39,20130918,5.0
f5bdebed,20130918,35.0
fde9ac1c,20140630,7.0
d7fecf48,20140630,12.4
a1c54916,20130918,235.48574
0745cc70,20140429,2313.0
c42b8503,20140429,10.0
3cb6381f,20140429,15.71362
3cb6381f,20140429,15.41362
0fcee8df,20140630,203.0
683f479a,20130917,5.0
75c2e86e,20140630,16.0
f2aeb3c1,20140630,4.0
